id,title,genre,date,key,title_imslp,notes,sources
313,Quartetto,quartets,c. 1780–1782,C major,,,
314,Quartetto,quartets,c. 1780–1782,D major,,,
315,Quartetto,quartets,c. 1780–1782,G major,,,
316,Divertimento,divertimentos,c. 1780–1782,B-flat major,"String Quartet in B-flat major, MH 316",,
317,Gewöhnliche Signaturen des Generalbaßes,methods,c. 1782,-,,,
318,Anweisung,methods,c. 1782,-,,,
319,Divertimento,divertimentos,1781-05-27,D major,"Divertimento in D major, MH 319",,
320,Marcia,marches,1782-05-31,D major,,,
321,Vesperae de Dominica,vespers,1782-07-22,C major,"Vesperae de Dominica, MH 321",,
322,Missa in honorem Sancti Ruperti,masses,1782-08-11,C major,,,
